Date,VLY,R2000,Rentabilidad_VLY,Rentabilidad_R2000,Mkt-RF,SMB,HML,RF,Market Premium,VLY Premium,residuos,residuos_normalizados,intervencion,residuos_outlier
2015-02-01,5.8973588943481445,1233.3699951171875,0.0556890077320956,0.056694448796188,0.0613,0.0060999999999999,-0.0179,0.0,0.056694448796188,0.0556890077320956,-0.007554509611368908,-0.12583801054247812,0,-0.004437388495680532
2015-03-01,5.799068450927734,1252.77001953125,-0.0168073129191018,0.0156068588870214,-0.0111,0.0305,-0.0038,0.0,0.0156068588870214,-0.0168073129191018,-0.033627739908375545,-0.5601485876385144,0,-0.031567035875971594
2015-04-01,5.86057186126709,1220.1300048828125,0.0105498933306508,-0.0263997007507218,0.0059,-0.0299,0.018,0.0,-0.0263997007507218,0.0105498933306508,0.0411908608364724,0.6861300397835508,0,0.04217151984045241
2015-05-01,6.078089714050293,1246.530029296875,0.0364432687669178,0.0214063001360329,0.0137,0.0095,-0.0111,0.0,0.0214063001360329,0.0364432687669178,0.01307030399915982,0.21771645507796694,0,0.015280119449938626
2015-06-01,6.407474040985107,1253.949951171875,0.0527746730580222,0.0059348154847655,-0.0152,0.0294,-0.0081999999999999,0.0,0.0059348154847655,0.0527746730580222,0.04688226948811205,0.7809337502492528,0,0.048694292303072984
2015-07-01,6.232174873352051,1238.6800537109375,-0.0277397591740079,-0.0122521902184314,0.0157,-0.0417,-0.0416,0.0,-0.0122521902184314,-0.0277397591740079,-0.01308345178525142,-0.21793546217835033,0,-0.01173904129705687
2015-08-01,5.943183898925781,1159.449951171875,-0.0474803690327575,-0.0661006272144983,-0.0602,0.0037,0.0275,0.0,-0.0661006272144983,-0.0474803690327575,0.02801695778855169,0.46668790046387687,0,0.02797685268757273
2015-09-01,6.181917667388916,1100.68994140625,0.0393835258096164,-0.0520085099904898,-0.0306,-0.0263,0.0055,0.0,-0.0520085099904898,0.0393835258096164,0.09895877901652644,1.6483897059859494,0,0.0992810011634586
2015-10-01,6.673588275909424,1161.8599853515625,0.0765291621701416,0.0540849539910925,0.0775,-0.019,-0.0046999999999999,0.0,0.0540849539910925,0.0765291621701416,0.016234000117984024,0.27041520668914637,0,0.01928402761983572
2015-11-01,7.080357551574707,1198.1099853515625,0.0591667203928371,0.0307231463155679,0.0056999999999999,0.0358,-0.0043,0.0,0.0307231463155679,0.0591667203928371,0.02526705418153312,0.42088183006454394,0,0.027716418252422104
2015-12-01,6.260458946228027,1135.8900146484375,-0.1230709115467149,-0.0533288054306769,-0.0215,-0.0279999999999999,-0.0256999999999999,0.0001,-0.0534288054306769,-0.1231709115467149,-0.06199092796512935,-1.0326037622712632,0,-0.06170522352024887
2016-01-01,5.654872417449951,1035.3800048828125,-0.1017359482218221,-0.0926479837118532,-0.0574,-0.034,0.0208,0.0001,-0.0927479837118532,-0.1018359482218221,0.003769073918482982,0.06278273347824859,0,0.0030438295165518686
2016-02-01,5.783392429351807,1033.9000244140625,0.0224728877075038,-0.0014304305846954,-0.0006,0.0073,-0.0060999999999999,0.0002,-0.0016304305846954,0.0222728877075038,0.024928128392481354,0.41523622906462865,0,0.02654563857711529
2016-03-01,6.130395889282227,1114.030029296875,0.0582688941231364,0.0746460141985628,0.0695,0.0075,0.0121999999999999,0.0002,0.0744460141985628,0.0580688941231364,-0.02523134902061458,-0.4202870771755771,0,-0.02165781133273087
2016-04-01,6.150430202484131,1130.8499755859375,0.0032627008679489,0.0149854433319224,0.0092,0.0077,0.0322,0.0001,0.0148854433319224,0.0031627008679489,-0.012842629894670584,-0.21392401085129595,0,-0.01080047442445386
2016-05-01,6.195940017700195,1154.7900390625,0.0073722107022326,0.0209490023329474,0.0178,-0.0018,-0.0162,0.0001,0.0208490023329474,0.0072722107022326,-0.015471087386997269,-0.257707112421793,0,-0.013275600810726752
2016-06-01,5.929378032684326,1151.9200439453125,-0.043974919064931,-0.002488389520006,-0.0003,0.006,-0.0149,0.0002,-0.002688389520006,-0.044174919064931,-0.040324336347151706,-0.6716960495668524,0,-0.03873402770671022
