Date,VLY,R2000,Rentabilidad_VLY,Rentabilidad_R2000,Mkt-RF,SMB,HML,RF,Market Premium,VLY Premium
2015-01-01,5.57791805267334,1165.3900146484375,,,-0.031,-0.0059,-0.0345,0.0,,
2015-02-01,5.8973588943481445,1233.3699951171875,0.0556890077320956,0.056694448796188,0.0613,0.0060999999999999995,-0.0179,0.0,0.056694448796188,0.0556890077320956
2015-03-01,5.799068450927734,1252.77001953125,-0.0168073129191018,0.0156068588870214,-0.0111,0.0305,-0.0038,0.0,0.0156068588870214,-0.0168073129191018
2015-04-01,5.86057186126709,1220.1300048828125,0.0105498933306508,-0.0263997007507218,0.0059,-0.029900000000000003,0.018000000000000002,0.0,-0.0263997007507218,0.0105498933306508
2015-05-01,6.078089714050293,1246.530029296875,0.0364432687669178,0.0214063001360329,0.0137,0.0095,-0.0111,0.0,0.0214063001360329,0.0364432687669178
2015-06-01,6.407474040985107,1253.949951171875,0.0527746730580222,0.0059348154847655,-0.0152,0.0294,-0.008199999999999999,0.0,0.0059348154847655,0.0527746730580222
2015-07-01,6.232174873352051,1238.6800537109375,-0.0277397591740079,-0.0122521902184314,0.015700000000000002,-0.0417,-0.0416,0.0,-0.0122521902184314,-0.0277397591740079
2015-08-01,5.943183898925781,1159.449951171875,-0.0474803690327575,-0.0661006272144983,-0.0602,0.0037,0.0275,0.0,-0.0661006272144983,-0.0474803690327575
2015-09-01,6.181917667388916,1100.68994140625,0.0393835258096164,-0.0520085099904898,-0.030600000000000002,-0.0263,0.0055000000000000005,0.0,-0.0520085099904898,0.0393835258096164
2015-10-01,6.673588275909424,1161.8599853515625,0.0765291621701416,0.0540849539910925,0.0775,-0.019,-0.004699999999999999,0.0,0.0540849539910925,0.0765291621701416
2015-11-01,7.080357551574707,1198.1099853515625,0.0591667203928371,0.0307231463155679,0.005699999999999999,0.0358,-0.0043,0.0,0.0307231463155679,0.0591667203928371
2015-12-01,6.260458946228027,1135.8900146484375,-0.1230709115467149,-0.0533288054306769,-0.0215,-0.027999999999999997,-0.025699999999999997,0.0001,-0.0534288054306769,-0.1231709115467149
2016-01-01,5.654872417449951,1035.3800048828125,-0.1017359482218221,-0.0926479837118532,-0.0574,-0.034,0.0208,0.0001,-0.09274798371185321,-0.1018359482218221
2016-02-01,5.783392429351807,1033.9000244140625,0.0224728877075038,-0.0014304305846954,-0.0006,0.0073,-0.0060999999999999995,0.0002,-0.0016304305846954002,0.0222728877075038
2016-03-01,6.130395889282227,1114.030029296875,0.0582688941231364,0.0746460141985628,0.0695,0.0075,0.012199999999999999,0.0002,0.0744460141985628,0.0580688941231364
2016-04-01,6.150430202484131,1130.8499755859375,0.0032627008679489,0.0149854433319224,0.0092,0.0077,0.0322,0.0001,0.014885443331922401,0.0031627008679489003
2016-05-01,6.195940017700195,1154.7900390625,0.0073722107022326,0.0209490023329474,0.0178,-0.0018,-0.016200000000000003,0.0001,0.0208490023329474,0.0072722107022326
2016-06-01,5.929378032684326,1151.9200439453125,-0.043974919064931,-0.002488389520006,-0.0003,0.006,-0.0149,0.0002,-0.0026883895200060003,-0.044174919064931
2016-07-01,5.966994762420654,1219.93994140625,0.0063240881493389,0.0573714756103778,0.0394,0.0245,-0.0124,0.0002,0.0571714756103778,0.0061240881493389
2016-08-01,6.348565578460693,1239.9100341796875,0.0619854834491001,0.016237194726069,0.0049,0.011699999999999999,0.0317,0.0002,0.016037194726069,0.0617854834491001
2016-09-01,6.401197910308838,1251.6500244140625,0.0082562521055086,0.0094238764816637,0.0027,0.0208,-0.011899999999999999,0.0002,0.0092238764816637,0.0080562521055086
2016-10-01,6.561437606811523,1191.3900146484375,0.0247245799899129,-0.0493419953997903,-0.020099999999999996,-0.043899999999999995,0.041100000000000005,0.0002,-0.049541995399790296,0.024524579989912903
2016-11-01,7.546321868896484,1322.3399658203125,0.1398505485461202,0.1042821636108165,0.048600000000000004,0.055999999999999994,0.08289999999999999,0.0001,0.1041821636108165,0.1397505485461202
2016-12-01,7.745959758758545,1357.1300048828125,0.026111111106828,0.0259693108233552,0.0181,0.0014000000000000002,0.0347,0.0003,0.025669310823355197,0.025811111106828
2017-01-01,8.13682746887207,1361.8199462890625,0.0492289722255155,0.0034498215427481,0.0194,-0.0116,-0.0276,0.0004,0.0030498215427481,0.0488289722255155
2017-02-01,8.31152057647705,1386.6800537109375,0.0212422154488095,0.0180904387141862,0.0355,-0.0215,-0.015,0.0004,0.0176904387141862,0.020842215448809497
2017-03-01,7.92853307723999,1385.9200439453125,-0.0471745390732864,-0.0005482289243968,0.0017000000000000001,0.0113,-0.0333,0.0003,-0.0008482289243967999,-0.0474745390732864
2017-04-01,7.972497940063477,1400.4300537109375,0.0055298269412841,0.01041515992029,0.0108,0.0066,-0.020499999999999997,0.0005,0.00991515992029,0.0050298269412841
2017-05-01,7.647089004516602,1370.2099609375,-0.0416728083857381,-0.0218153864165518,0.010700000000000001,-0.0252,-0.0382,0.0006,-0.0224153864165518,-0.0422728083857381
