Date,VLY,R2000,Rentabilidad_VLY,Rentabilidad_R2000
2015-01-01,5.57791805267334,1165.3900146484375,,
2015-02-01,5.897359848022461,1233.3699951171875,0.05568916944418673,0.05669444879618808
2015-03-01,5.799068450927734,1252.77001953125,-0.016807474631193094,0.015606858887021487
2015-04-01,5.8605732917785645,1220.1300048828125,0.010550137421386926,-0.026399700750721896
2015-05-01,6.078089714050293,1246.530029296875,0.03644302467618173,0.02140630013603299
2015-06-01,6.40747594833374,1253.949951171875,0.052774970733570646,0.005934815484765593
2015-07-01,6.232173919677734,1238.6800537109375,-0.027740209873887135,-0.012252190218431493
2015-08-01,5.943183898925781,1159.449951171875,-0.04748021600842676,-0.06610062721449833
2015-09-01,6.1819167137146,1100.68994140625,0.03938337154124204,-0.05200850999048984
2015-10-01,6.673585414886475,1161.8599853515625,0.07652888773008473,0.05408495399109255
2015-11-01,7.080356597900391,1198.1099853515625,0.05916701440829968,0.030723146315567943
2015-12-01,6.260459899902344,1135.8900146484375,-0.12307062452078564,-0.05332880543067697
2016-01-01,5.654871463775635,1035.3800048828125,-0.10173626920127454,-0.09264798371185325
2016-02-01,5.783391952514648,1033.9000244140625,0.022472973904606106,-0.0014304305846954807
2016-03-01,6.130395889282227,1114.030029296875,0.05826897657252639,0.0746460141985628
2016-04-01,6.150428771972656,1130.8499755859375,0.00326246828070009,0.014985443331922409
2016-05-01,6.19594144821167,1154.7900390625,0.007372674168299803,0.020949002332947428
2016-06-01,5.929378509521484,1151.9200439453125,-0.043975069524329925,-0.0024883895200060835
2016-07-01,5.966994762420654,1219.93994140625,0.006324007729919452,0.057371475610377864
2016-08-01,6.34856653213501,1239.9100341796875,0.06198563366795388,0.016237194726069073
2016-09-01,6.4011969566345215,1251.6500244140625,0.008255952902917462,0.009423876481663781
2016-10-01,6.561438083648682,1191.3900146484375,0.024724801646312838,-0.049341995399790325
2016-11-01,7.54632043838501,1322.3399658203125,0.13985028630937138,0.10428216361081656
2016-12-01,7.745955467224121,1357.1300048828125,0.026110746635553135,0.025969310823355272
2017-01-01,8.136825561523438,1361.8199462890625,0.04922929185147521,0.003449821542748135
2017-02-01,8.3115234375,1386.6800537109375,0.021242794081922003,0.018090438714186214
2017-03-01,7.928533554077148,1385.9200439453125,-0.04717482315508464,-0.0005482289243968323
2017-04-01,7.972496509552002,1400.4300537109375,0.005529587368581514,0.010415159920290037
2017-05-01,7.647087574005127,1370.2099609375,-0.041672816021112516,-0.021815386416551886
2017-06-01,8.00639533996582,1415.3599853515625,0.045915773741697086,0.032419921091938086
2017-07-01,8.127922058105469,1425.1400146484375,0.015064661670668947,0.006886159439254762
2017-08-01,7.655845642089844,1405.280029296875,-0.059835809226358866,-0.014033472753076483
2017-09-01,8.244229316711426,1490.8599853515625,0.07404398658043132,0.059116532800535276
2017-10-01,7.946331977844238,1502.530029296875,-0.03680304307624918,0.007797248613466787
2017-11-01,8.222723960876465,1544.1400146484375,0.034191100514845134,0.02731675710519808
2017-12-01,7.752856254577637,1535.510009765625,-0.05884021182940418,-0.0056045507795594455
2018-01-01,8.770088195800781,1574.97998046875,0.12328553842172901,0.025379981609296987
2018-02-01,8.700318336486816,1512.449951171875,-0.007987247475342444,-0.04051174114224981
2018-03-01,8.693343162536621,1529.4300537109375,-0.0008020363423184554,0.011164331848308812
2018-04-01,8.82960319519043,1541.8800048828125,0.015552496299494624,0.008107302178663725
2018-05-01,8.94217300415039,1633.6099853515625,0.012668549641950166,0.057789826624131055
2018-06-01,8.555217742919922,1643.0699462890625,-0.04423726584688372,0.005774129556880313
2018-07-01,8.26767635345459,1670.800048828125,-0.034187862568953245,0.016736172416226054
2018-08-01,8.551546096801758,1740.75,0.03375860006098328,0.041013471975237824
2018-09-01,7.9838104248046875,1696.5699462890625,-0.06869630229711217,-0.025707520687573905
2018-10-01,7.148774147033691,1511.4100341796875,-0.11047490029935243,-0.1155655215737511
2018-11-01,7.7504730224609375,1533.27001953125,0.08081298261921864,0.014359709785169235
2018-12-01,6.360832214355469,1348.56005859375,-0.197594656553439,-0.12836532242532533
2019-01-01,7.3239336013793945,1499.4200439453125,0.1409883407699034,0.10604099603583528
2019-02-01,7.6499223709106445,1575.550048828125,0.04354793931817689,0.0495260526847446
2019-03-01,6.93998908996582,1539.739990234375,-0.0973952977271346,-0.02299088399888306
2019-04-01,7.673843860626221,1591.2099609375,0.10051744260795947,0.032881143893322445
2019-05-01,7.190568447113037,1465.489990234375,-0.06504741567200602,-0.08230505768194442
2019-06-01,7.893513202667236,1566.5699462890625,0.09327107918573982,0.06669883085878303
2019-07-01,8.258615493774414,1574.6099853515625,0.04521564912984865,0.005119131533524349
2019-08-01,7.777604103088379,1494.8399658203125,-0.060008622857077226,-0.05198845842567025
2019-09-01,8.044010162353516,1523.3699951171875,0.03367940039448756,0.018905827926186943
2019-10-01,8.654577255249023,1562.449951171875,0.07316060818784574,0.02533008810047105
2019-11-01,8.654577255249023,1624.5,0.0,0.03894500526160995
2019-12-01,8.557417869567871,1668.469970703125,-0.011289849546746543,0.026706945139745364
2020-01-01,7.94597053527832,1614.06005859375,-0.07413354463098237,-0.03315424108669096
2020-02-01,7.017809867858887,1476.4300537109375,-0.1242137645406095,-0.0891257321373237
2020-03-01,5.516149520874023,1153.0999755859375,-0.24077111840379145,-0.2471731014203611
2020-04-01,6.4013776779174805,1310.6600341796875,0.14883316305354388,0.12807690658972246
2020-05-01,6.110406875610352,1394.0400390625,-0.04651986665536162,0.0616751811402117
2020-06-01,5.9878926277160645,1441.3699951171875,-0.020253827565820247,0.03338801245329068
